hcc,is_chronic,model_version,model_domain
HCC13,,V24,CMS-HCC
HCC138,Y,V28,CMS-HCC
HCC200,Y,V28,CMS-HCC
HCC229,Y,V28,CMS-HCC
HCC255,Y,V28,CMS-HCC
HCC97,Y,V24,CMS-HCC
HCC25,Y,V24,CMS-HCC
HCC113,,V28,CMS-HCC
HCC264,Y,V28,CMS-HCC
HCC285,,V28,CMS-HCC
HCC368,,V28,CMS-HCC
HCC485,,V28,CMS-HCC
HCC112,Y,V24,CMS-HCC
HCC115,,V24,CMS-HCC
HCC126,Y,V24,CMS-HCC
HCC162,,V24,CMS-HCC
HCC9,,V28,CMS-HCC
HCC213,,V28,CMS-HCC
HCC47,,V28,CMS-HCC
HCC127,Y,V28,CMS-HCC
HCC128,Y,V28,CMS-HCC
HCC171,Y,V28,CMS-HCC
HCC197,Y,V28,CMS-HCC
HCC465,,V28,CMS-HCC
HCC488,,V28,CMS-HCC
HCC54,Y,V24,CMS-HCC
HCC106,Y,V24,CMS-HCC
HCC107,Y,V28,CMS-HCC
HCC199,Y,V28,CMS-HCC
HCC486,,V28,CMS-HCC
HCC36,,V24,CMS-HCC
HCC118,,V24,CMS-HCC
HCC182,Y,V24,CMS-HCC
HCC192,,V24,CMS-HCC
HCC352,Y,V28,CMS-HCC
HCC62,Y,V24,CMS-HCC
HCC171,,V24,CMS-HCC
HCC184,Y,V24,CMS-HCC
HCC5,,V24,CMS-HCC
HCC69,,V28,CMS-HCC
HCC116,,V28,CMS-HCC
HCC143,Y,V28,CMS-HCC
HCC45,,V24,CMS-HCC
HCC117,,V24,CMS-HCC
HCC18,Y,V24,CMS-HCC
HCC296,,V28,CMS-HCC
HCC466,,V28,CMS-HCC
HCC125,Y,V24,CMS-HCC
HCC30,,V24,CMS-HCC
HCC38,Y,V28,CMS-HCC
HCC8,,V28,CMS-HCC
HCC155,Y,V28,CMS-HCC
HCC314,,V28,CMS-HCC
HCC379,Y,V28,CMS-HCC
HCC464,,V28,CMS-HCC
HCC55,Y,V24,CMS-HCC
HCC49,Y,V28,CMS-HCC
HCC105,Y,V24,CMS-HCC
HCC191,,V24,CMS-HCC
HCC200,,V24,CMS-HCC
HCC203,"1,981,142",V24,CMS-HCC
HCC82,,V28,CMS-HCC
HCC94,Y,V28,CMS-HCC
HCC420,,V28,CMS-HCC
HCC85,Y,V24,CMS-HCC
HCC149,Y,V24,CMS-HCC
HCC11,Y,V24,CMS-HCC
HCC25,,V28,CMS-HCC
HCC84,,V28,CMS-HCC
HCC170,,V24,CMS-HCC
HCC177,,V24,CMS-HCC
HCC467,,V28,CMS-HCC
HCC102,Y,V24,CMS-HCC
HCC12,Y,V24,CMS-HCC
HCC450,Y,V28,CMS-HCC
HCC470,,V28,CMS-HCC
HCC476,,V28,CMS-HCC
HCC154,,V24,CMS-HCC
HCC194,,V24,CMS-HCC
HCC224,Y,V28,CMS-HCC
HCC398,,V28,CMS-HCC
HCC52,Y,V24,CMS-HCC
HCC87,Y,V24,CMS-HCC
HCC146,Y,V24,CMS-HCC
HCC52,,V28,CMS-HCC
HCC83,,V28,CMS-HCC
HCC172,Y,V28,CMS-HCC
HCC489,,V28,CMS-HCC
HCC65,Y,V24,CMS-HCC
HCC86,Y,V24,CMS-HCC
HCC96,Y,V24,CMS-HCC
HCC121,,V24,CMS-HCC
HCC136,Y,V24,CMS-HCC
HCC81,Y,V28,CMS-HCC
HCC158,Y,V24,CMS-HCC
HCC151,,V24,CMS-HCC
HCC203,Y,V24,CMS-HCC
HCC63,Y,V28,CMS-HCC
HCC190,Y,V28,CMS-HCC
HCC237,Y,V28,CMS-HCC
HCC404,,V28,CMS-HCC
HCC474,,V28,CMS-HCC
HCC41,Y,V24,CMS-HCC
HCC331,Y,V28,CMS-HCC
HCC24,,V28,CMS-HCC
HCC282,,V28,CMS-HCC
HCC297,,V28,CMS-HCC
