coefficient,value,model_domain,model_version
CNA_HCC80,0.486,CMS-HCC,C24
CNA_HCC82,1,CMS-HCC,C24
CNA_HCC83,0.354,CMS-HCC,C24
CNA_HCC84,0.282,CMS-HCC,C24
CNA_HCC85,0.331,CMS-HCC,C24
CNA_HCC86,0.195,CMS-HCC,C24
CNA_HCC87,0.195,CMS-HCC,C24
CNA_HCC88,0.135,CMS-HCC,C24
CNA_HCC96,0.268,CMS-HCC,C24
CNA_HCC99,0.23,CMS-HCC,C24
CNA_HCC100,0.23,CMS-HCC,C24
CNA_HCC103,0.437,CMS-HCC,C24
CNA_HCC104,0.331,CMS-HCC,C24
CNA_HCC106,1.488,CMS-HCC,C24
CNA_HCC107,0.383,CMS-HCC,C24
CNA_HCC108,0.288,CMS-HCC,C24
CNA_HCC110,0.51,CMS-HCC,C24
CNA_HCC111,0.335,CMS-HCC,C24
CNA_HCC112,0.219,CMS-HCC,C24
CNA_HCC114,0.517,CMS-HCC,C24
CNA_HCC115,0.13,CMS-HCC,C24
CNA_HCC122,0.222,CMS-HCC,C24
CNA_HCC124,0.521,CMS-HCC,C24
CNA_HCC134,0.435,CMS-HCC,C24
CNA_HCC135,0.435,CMS-HCC,C24
CNA_HCC136,0.289,CMS-HCC,C24
CNA_HCC137,0.289,CMS-HCC,C24
CNA_HCC138,0.069,CMS-HCC,C24
CNA_HCC157,2.028,CMS-HCC,C24
CNA_HCC158,1.069,CMS-HCC,C24
CNA_HCC161,0.515,CMS-HCC,C24
CNA_HCC162,0.224,CMS-HCC,C24
CNA_HCC166,0.486,CMS-HCC,C24
CNA_HCC167,0.077,CMS-HCC,C24
CNA_HCC169,0.476,CMS-HCC,C24
CNA_HCC170,0.35,CMS-HCC,C24
CNA_HCC173,0.208,CMS-HCC,C24
CNA_HCC176,0.582,CMS-HCC,C24
CNA_HCC186,0.832,CMS-HCC,C24
CNA_HCC188,0.534,CMS-HCC,C24
CNA_HCC189,0.519,CMS-HCC,C24
CNA_HCC51,0.346,CMS-HCC,C24
CNA_HCC52,0.346,CMS-HCC,C24
CNA_HCC159,0.656,CMS-HCC,C24
CNA_HCC47_gCancer,0.838,CMS-HCC,C24
CNA_DIABETES_CHF,0.121,CMS-HCC,C24
CNA_CHF_gCopdCF,0.155,CMS-HCC,C24
CNA_HCC85_gRenal_V24,0.156,CMS-HCC,C24
CNA_gCopdCF_CARD_RESP_FAIL,0.363,CMS-HCC,C24
CNA_HCC85_HCC96,0.085,CMS-HCC,C24
CNA_D4,0.006,CMS-HCC,C24
CNA_D5,0.042,CMS-HCC,C24
CNA_D6,0.077,CMS-HCC,C24
CNA_D7,0.126,CMS-HCC,C24
CNA_D8,0.214,CMS-HCC,C24
CNA_D9,0.258,CMS-HCC,C24
CNA_D10P,0.505,CMS-HCC,C24
CNA_D1,0,CMS-HCC,C24
CNA_D2,0,CMS-HCC,C24
CNA_D3,0,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF0_34,1.513,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF35_44,1.513,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF45_54,1.513,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF55_59,1.619,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF60_64,1.686,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF65,0.999,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF66,0.999,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF67,1.07,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF68,1.108,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF69,1.164,CMS-HCC,C24
SNPNE_NMCAID_NORIGDIS_NEF70_74,1.31,CMS-HCC,C24
