diagnosis_code,cc,model_name
A0103,115,CMS-HCC ESRD Model V21
A0104,39,CMS-HCC ESRD Model V21
A0105,39,CMS-HCC ESRD Model V21
A021,2,CMS-HCC ESRD Model V21
A0222,115,CMS-HCC ESRD Model V21
A0223,39,CMS-HCC ESRD Model V21
A0224,39,CMS-HCC ESRD Model V21
A065,115,CMS-HCC ESRD Model V21
A072,6,CMS-HCC ESRD Model V21
A202,115,CMS-HCC ESRD Model V21
A207,2,CMS-HCC ESRD Model V21
A212,115,CMS-HCC ESRD Model V21
A221,115,CMS-HCC ESRD Model V21
A227,2,CMS-HCC ESRD Model V21
A267,2,CMS-HCC ESRD Model V21
A310,6,CMS-HCC ESRD Model V21
A312,6,CMS-HCC ESRD Model V21
A327,2,CMS-HCC ESRD Model V21
A3681,85,CMS-HCC ESRD Model V21
A3684,141,CMS-HCC ESRD Model V21
A391,23,CMS-HCC ESRD Model V21
A392,2,CMS-HCC ESRD Model V21
A393,2,CMS-HCC ESRD Model V21
A394,2,CMS-HCC ESRD Model V21
A3983,39,CMS-HCC ESRD Model V21
A3984,39,CMS-HCC ESRD Model V21
A400,2,CMS-HCC ESRD Model V21
A401,2,CMS-HCC ESRD Model V21
A403,2,CMS-HCC ESRD Model V21
A408,2,CMS-HCC ESRD Model V21
A409,2,CMS-HCC ESRD Model V21
A4101,2,CMS-HCC ESRD Model V21
A4102,2,CMS-HCC ESRD Model V21
A411,2,CMS-HCC ESRD Model V21
A412,2,CMS-HCC ESRD Model V21
A413,2,CMS-HCC ESRD Model V21
A414,2,CMS-HCC ESRD Model V21
A4150,2,CMS-HCC ESRD Model V21
A4151,2,CMS-HCC ESRD Model V21
A4152,2,CMS-HCC ESRD Model V21
A4153,2,CMS-HCC ESRD Model V21
A4154,2,CMS-HCC ESRD Model V21
A4159,2,CMS-HCC ESRD Model V21
A4181,2,CMS-HCC ESRD Model V21
A4189,2,CMS-HCC ESRD Model V21
A419,2,CMS-HCC ESRD Model V21
A420,115,CMS-HCC ESRD Model V21
A427,2,CMS-HCC ESRD Model V21
A430,115,CMS-HCC ESRD Model V21
A480,106,CMS-HCC ESRD Model V21
A481,114,CMS-HCC ESRD Model V21
A483,2,CMS-HCC ESRD Model V21
A5055,39,CMS-HCC ESRD Model V21
A5440,39,CMS-HCC ESRD Model V21
A5441,39,CMS-HCC ESRD Model V21
A5442,39,CMS-HCC ESRD Model V21
A5443,39,CMS-HCC ESRD Model V21
A5449,39,CMS-HCC ESRD Model V21
A5484,115,CMS-HCC ESRD Model V21
A5485,33,CMS-HCC ESRD Model V21
A5486,2,CMS-HCC ESRD Model V21
A666,39,CMS-HCC ESRD Model V21
A6923,39,CMS-HCC ESRD Model V21
A8100,52,CMS-HCC ESRD Model V21
A8101,52,CMS-HCC ESRD Model V21
A8109,52,CMS-HCC ESRD Model V21
A811,52,CMS-HCC ESRD Model V21
A812,52,CMS-HCC ESRD Model V21
A8181,52,CMS-HCC ESRD Model V21
A8182,52,CMS-HCC ESRD Model V21
A8183,52,CMS-HCC ESRD Model V21
A8189,52,CMS-HCC ESRD Model V21
A819,52,CMS-HCC ESRD Model V21
A985,141,CMS-HCC ESRD Model V21
B007,2,CMS-HCC ESRD Model V21
B0082,72,CMS-HCC ESRD Model V21
B0112,72,CMS-HCC ESRD Model V21
B0224,72,CMS-HCC ESRD Model V21
B0682,39,CMS-HCC ESRD Model V21
B180,29,CMS-HCC ESRD Model V21
B181,29,CMS-HCC ESRD Model V21
B182,29,CMS-HCC ESRD Model V21
B188,29,CMS-HCC ESRD Model V21
B189,29,CMS-HCC ESRD Model V21
B20,1,CMS-HCC ESRD Model V21
B250,6,CMS-HCC ESRD Model V21
B251,6,CMS-HCC ESRD Model V21
B252,6,CMS-HCC ESRD Model V21
B258,6,CMS-HCC ESRD Model V21
B259,6,CMS-HCC ESRD Model V21
B2685,39,CMS-HCC ESRD Model V21
B3324,85,CMS-HCC ESRD Model V21
B371,6,CMS-HCC ESRD Model V21
B377,2,CMS-HCC ESRD Model V21
B377,6,CMS-HCC ESRD Model V21
B3781,6,CMS-HCC ESRD Model V21
B380,115,CMS-HCC ESRD Model V21
B381,115,CMS-HCC ESRD Model V21
B382,115,CMS-HCC ESRD Model V21
B390,115,CMS-HCC ESRD Model V21
B391,115,CMS-HCC ESRD Model V21
B392,115,CMS-HCC ESRD Model V21
B400,115,CMS-HCC ESRD Model V21
B401,115,CMS-HCC ESRD Model V21
B402,115,CMS-HCC ESRD Model V21
B410,115,CMS-HCC ESRD Model V21
B4282,39,CMS-HCC ESRD Model V21
B440,6,CMS-HCC ESRD Model V21
B441,6,CMS-HCC ESRD Model V21
B442,6,CMS-HCC ESRD Model V21
B447,6,CMS-HCC ESRD Model V21
B4481,112,CMS-HCC ESRD Model V21
B4489,6,CMS-HCC ESRD Model V21
B449,6,CMS-HCC ESRD Model V21
B450,6,CMS-HCC ESRD Model V21
B451,6,CMS-HCC ESRD Model V21
B452,6,CMS-HCC ESRD Model V21
B453,6,CMS-HCC ESRD Model V21
B457,6,CMS-HCC ESRD Model V21
B458,6,CMS-HCC ESRD Model V21
B459,6,CMS-HCC ESRD Model V21
B460,6,CMS-HCC ESRD Model V21
B461,6,CMS-HCC ESRD Model V21
B462,6,CMS-HCC ESRD Model V21
B463,6,CMS-HCC ESRD Model V21
B464,6,CMS-HCC ESRD Model V21
B465,6,CMS-HCC ESRD Model V21
B468,6,CMS-HCC ESRD Model V21
B469,6,CMS-HCC ESRD Model V21
B484,6,CMS-HCC ESRD Model V21
B488,6,CMS-HCC ESRD Model V21
B520,141,CMS-HCC ESRD Model V21
B582,6,CMS-HCC ESRD Model V21
B583,6,CMS-HCC ESRD Model V21
B59,6,CMS-HCC ESRD Model V21
B664,115,CMS-HCC ESRD Model V21
B671,115,CMS-HCC ESRD Model V21
B9735,1,CMS-HCC ESRD Model V21
C01,11,CMS-HCC ESRD Model V21
C020,11,CMS-HCC ESRD Model V21
C021,11,CMS-HCC ESRD Model V21
C022,11,CMS-HCC ESRD Model V21
C023,11,CMS-HCC ESRD Model V21
C024,11,CMS-HCC ESRD Model V21
C028,11,CMS-HCC ESRD Model V21
C029,11,CMS-HCC ESRD Model V21
C030,11,CMS-HCC ESRD Model V21
C031,11,CMS-HCC ESRD Model V21
C039,11,CMS-HCC ESRD Model V21
C040,11,CMS-HCC ESRD Model V21
C041,11,CMS-HCC ESRD Model V21
C048,11,CMS-HCC ESRD Model V21
C049,11,CMS-HCC ESRD Model V21
C050,11,CMS-HCC ESRD Model V21
C051,11,CMS-HCC ESRD Model V21
C052,11,CMS-HCC ESRD Model V21
C058,11,CMS-HCC ESRD Model V21
C059,11,CMS-HCC ESRD Model V21
C060,11,CMS-HCC ESRD Model V21
C061,11,CMS-HCC ESRD Model V21
C062,11,CMS-HCC ESRD Model V21
C0680,11,CMS-HCC ESRD Model V21
C0689,11,CMS-HCC ESRD Model V21
C069,11,CMS-HCC ESRD Model V21
C07,11,CMS-HCC ESRD Model V21
C080,11,CMS-HCC ESRD Model V21
C081,11,CMS-HCC ESRD Model V21
C089,11,CMS-HCC ESRD Model V21
C090,11,CMS-HCC ESRD Model V21
C091,11,CMS-HCC ESRD Model V21
