cc_parent,cc_child,model_domain,model_version,model_fullname
8,9,CMS-HCC,V22,V22H79H1
8,10,CMS-HCC,V22,V22H79H1
8,11,CMS-HCC,V22,V22H79H1
8,12,CMS-HCC,V22,V22H79H1
9,10,CMS-HCC,V22,V22H79H1
9,11,CMS-HCC,V22,V22H79H1
9,12,CMS-HCC,V22,V22H79H1
10,11,CMS-HCC,V22,V22H79H1
10,12,CMS-HCC,V22,V22H79H1
11,12,CMS-HCC,V22,V22H79H1
17,18,CMS-HCC,V22,V22H79H1
17,19,CMS-HCC,V22,V22H79H1
18,19,CMS-HCC,V22,V22H79H1
27,28,CMS-HCC,V22,V22H79H1
27,29,CMS-HCC,V22,V22H79H1
27,80,CMS-HCC,V22,V22H79H1
28,29,CMS-HCC,V22,V22H79H1
46,48,CMS-HCC,V22,V22H79H1
54,55,CMS-HCC,V22,V22H79H1
57,58,CMS-HCC,V22,V22H79H1
70,71,CMS-HCC,V22,V22H79H1
70,72,CMS-HCC,V22,V22H79H1
70,103,CMS-HCC,V22,V22H79H1
70,104,CMS-HCC,V22,V22H79H1
70,169,CMS-HCC,V22,V22H79H1
71,72,CMS-HCC,V22,V22H79H1
71,104,CMS-HCC,V22,V22H79H1
71,169,CMS-HCC,V22,V22H79H1
72,169,CMS-HCC,V22,V22H79H1
82,83,CMS-HCC,V22,V22H79H1
82,84,CMS-HCC,V22,V22H79H1
83,84,CMS-HCC,V22,V22H79H1
86,87,CMS-HCC,V22,V22H79H1
86,88,CMS-HCC,V22,V22H79H1
87,88,CMS-HCC,V22,V22H79H1
99,100,CMS-HCC,V22,V22H79H1
103,104,CMS-HCC,V22,V22H79H1
106,107,CMS-HCC,V22,V22H79H1
106,108,CMS-HCC,V22,V22H79H1
106,161,CMS-HCC,V22,V22H79H1
106,189,CMS-HCC,V22,V22H79H1
107,108,CMS-HCC,V22,V22H79H1
110,111,CMS-HCC,V22,V22H79H1
110,112,CMS-HCC,V22,V22H79H1
111,112,CMS-HCC,V22,V22H79H1
114,115,CMS-HCC,V22,V22H79H1
134,135,CMS-HCC,V22,V22H79H1
134,136,CMS-HCC,V22,V22H79H1
134,137,CMS-HCC,V22,V22H79H1
135,136,CMS-HCC,V22,V22H79H1
135,137,CMS-HCC,V22,V22H79H1
136,137,CMS-HCC,V22,V22H79H1
157,158,CMS-HCC,V22,V22H79H1
157,161,CMS-HCC,V22,V22H79H1
158,161,CMS-HCC,V22,V22H79H1
166,80,CMS-HCC,V22,V22H79H1
166,167,CMS-HCC,V22,V22H79H1
8,9,ESRD,V20,V20H87H1
8,10,ESRD,V20,V20H87H1
8,11,ESRD,V20,V20H87H1
8,12,ESRD,V20,V20H87H1
9,10,ESRD,V20,V20H87H1
9,11,ESRD,V20,V20H87H1
9,12,ESRD,V20,V20H87H1
10,11,ESRD,V20,V20H87H1
10,12,ESRD,V20,V20H87H1
11,12,ESRD,V20,V20H87H1
17,18,ESRD,V20,V20H87H1
17,19,ESRD,V20,V20H87H1
18,19,ESRD,V20,V20H87H1
27,28,ESRD,V20,V20H87H1
27,29,ESRD,V20,V20H87H1
27,80,ESRD,V20,V20H87H1
28,29,ESRD,V20,V20H87H1
46,48,ESRD,V20,V20H87H1
51,52,ESRD,V20,V20H87H1
54,55,ESRD,V20,V20H87H1
57,58,ESRD,V20,V20H87H1
70,71,ESRD,V20,V20H87H1
70,72,ESRD,V20,V20H87H1
70,103,ESRD,V20,V20H87H1
70,104,ESRD,V20,V20H87H1
70,169,ESRD,V20,V20H87H1
71,72,ESRD,V20,V20H87H1
71,104,ESRD,V20,V20H87H1
71,169,ESRD,V20,V20H87H1
72,169,ESRD,V20,V20H87H1
82,83,ESRD,V20,V20H87H1
82,84,ESRD,V20,V20H87H1
83,84,ESRD,V20,V20H87H1
86,87,ESRD,V20,V20H87H1
86,88,ESRD,V20,V20H87H1
87,88,ESRD,V20,V20H87H1
99,100,ESRD,V20,V20H87H1
103,104,ESRD,V20,V20H87H1
106,107,ESRD,V20,V20H87H1
106,108,ESRD,V20,V20H87H1
106,161,ESRD,V20,V20H87H1
106,189,ESRD,V20,V20H87H1
107,108,ESRD,V20,V20H87H1
110,111,ESRD,V20,V20H87H1
110,112,ESRD,V20,V20H87H1
111,112,ESRD,V20,V20H87H1
114,115,ESRD,V20,V20H87H1
134,135,ESRD,V20,V20H87H1
134,136,ESRD,V20,V20H87H1
134,137,ESRD,V20,V20H87H1
134,138,ESRD,V20,V20H87H1
134,139,ESRD,V20,V20H87H1
134,140,ESRD,V20,V20H87H1
134,141,ESRD,V20,V20H87H1
135,136,ESRD,V20,V20H87H1
135,137,ESRD,V20,V20H87H1
135,138,ESRD,V20,V20H87H1
135,139,ESRD,V20,V20H87H1
135,140,ESRD,V20,V20H87H1
135,141,ESRD,V20,V20H87H1
136,137,ESRD,V20,V20H87H1
136,138,ESRD,V20,V20H87H1
136,139,ESRD,V20,V20H87H1
136,140,ESRD,V20,V20H87H1
136,141,ESRD,V20,V20H87H1
137,138,ESRD,V20,V20H87H1
137,139,ESRD,V20,V20H87H1
137,140,ESRD,V20,V20H87H1
137,141,ESRD,V20,V20H87H1
138,139,ESRD,V20,V20H87H1
138,140,ESRD,V20,V20H87H1
138,141,ESRD,V20,V20H87H1
139,140,ESRD,V20,V20H87H1
139,141,ESRD,V20,V20H87H1
140,141,ESRD,V20,V20H87H1
157,158,ESRD,V20,V20H87H1
157,159,ESRD,V20,V20H87H1
157,160,ESRD,V20,V20H87H1
157,161,ESRD,V20,V20H87H1
158,159,ESRD,V20,V20H87H1
158,160,ESRD,V20,V20H87H1
158,161,ESRD,V20,V20H87H1
159,160,ESRD,V20,V20H87H1
159,161,ESRD,V20,V20H87H1
160,161,ESRD,V20,V20H87H1
166,80,ESRD,V20,V20H87H1
166,167,ESRD,V20,V20H87H1
8,9,CMS-HCC,V24,V24H86H1
8,10,CMS-HCC,V24,V24H86H1
8,11,CMS-HCC,V24,V24H86H1
8,12,CMS-HCC,V24,V24H86H1
9,10,CMS-HCC,V24,V24H86H1
9,11,CMS-HCC,V24,V24H86H1
9,12,CMS-HCC,V24,V24H86H1
10,11,CMS-HCC,V24,V24H86H1
10,12,CMS-HCC,V24,V24H86H1
11,12,CMS-HCC,V24,V24H86H1
17,18,CMS-HCC,V24,V24H86H1
17,19,CMS-HCC,V24,V24H86H1
18,19,CMS-HCC,V24,V24H86H1
27,28,CMS-HCC,V24,V24H86H1
27,29,CMS-HCC,V24,V24H86H1
27,80,CMS-HCC,V24,V24H86H1
28,29,CMS-HCC,V24,V24H86H1
46,48,CMS-HCC,V24,V24H86H1
51,52,CMS-HCC,V24,V24H86H1
54,55,CMS-HCC,V24,V24H86H1
54,56,CMS-HCC,V24,V24H86H1
55,56,CMS-HCC,V24,V24H86H1
57,58,CMS-HCC,V24,V24H86H1
57,59,CMS-HCC,V24,V24H86H1
57,60,CMS-HCC,V24,V24H86H1
58,59,CMS-HCC,V24,V24H86H1
58,60,CMS-HCC,V24,V24H86H1
59,60,CMS-HCC,V24,V24H86H1
70,71,CMS-HCC,V24,V24H86H1
70,72,CMS-HCC,V24,V24H86H1
70,103,CMS-HCC,V24,V24H86H1
70,104,CMS-HCC,V24,V24H86H1
70,169,CMS-HCC,V24,V24H86H1
71,72,CMS-HCC,V24,V24H86H1
71,104,CMS-HCC,V24,V24H86H1
71,169,CMS-HCC,V24,V24H86H1
72,169,CMS-HCC,V24,V24H86H1
82,83,CMS-HCC,V24,V24H86H1
82,84,CMS-HCC,V24,V24H86H1
83,84,CMS-HCC,V24,V24H86H1
86,87,CMS-HCC,V24,V24H86H1
86,88,CMS-HCC,V24,V24H86H1
87,88,CMS-HCC,V24,V24H86H1
99,100,CMS-HCC,V24,V24H86H1
103,104,CMS-HCC,V24,V24H86H1
106,107,CMS-HCC,V24,V24H86H1
106,108,CMS-HCC,V24,V24H86H1
106,161,CMS-HCC,V24,V24H86H1
106,189,CMS-HCC,V24,V24H86H1
107,108,CMS-HCC,V24,V24H86H1
110,111,CMS-HCC,V24,V24H86H1
110,112,CMS-HCC,V24,V24H86H1
111,112,CMS-HCC,V24,V24H86H1
114,115,CMS-HCC,V24,V24H86H1
134,135,CMS-HCC,V24,V24H86H1
134,136,CMS-HCC,V24,V24H86H1
134,137,CMS-HCC,V24,V24H86H1
134,138,CMS-HCC,V24,V24H86H1
135,136,CMS-HCC,V24,V24H86H1
135,137,CMS-HCC,V24,V24H86H1
135,138,CMS-HCC,V24,V24H86H1
136,137,CMS-HCC,V24,V24H86H1
136,138,CMS-HCC,V24,V24H86H1
137,138,CMS-HCC,V24,V24H86H1
157,158,CMS-HCC,V24,V24H86H1
157,159,CMS-HCC,V24,V24H86H1
157,161,CMS-HCC,V24,V24H86H1
158,159,CMS-HCC,V24,V24H86H1
158,161,CMS-HCC,V24,V24H86H1
159,161,CMS-HCC,V24,V24H86H1
166,80,CMS-HCC,V24,V24H86H1
166,167,CMS-HCC,V24,V24H86H1
8,9,ESRD,V24,V24H86H1
8,10,ESRD,V24,V24H86H1
8,11,ESRD,V24,V24H86H1
8,12,ESRD,V24,V24H86H1
9,10,ESRD,V24,V24H86H1
9,11,ESRD,V24,V24H86H1
9,12,ESRD,V24,V24H86H1
10,11,ESRD,V24,V24H86H1
10,12,ESRD,V24,V24H86H1
11,12,ESRD,V24,V24H86H1
17,18,ESRD,V24,V24H86H1
17,19,ESRD,V24,V24H86H1
18,19,ESRD,V24,V24H86H1
27,28,ESRD,V24,V24H86H1
27,29,ESRD,V24,V24H86H1
27,80,ESRD,V24,V24H86H1
28,29,ESRD,V24,V24H86H1
46,48,ESRD,V24,V24H86H1
51,52,ESRD,V24,V24H86H1
54,55,ESRD,V24,V24H86H1
54,56,ESRD,V24,V24H86H1
55,56,ESRD,V24,V24H86H1
57,58,ESRD,V24,V24H86H1
57,59,ESRD,V24,V24H86H1
57,60,ESRD,V24,V24H86H1
58,59,ESRD,V24,V24H86H1
58,60,ESRD,V24,V24H86H1
59,60,ESRD,V24,V24H86H1
70,71,ESRD,V24,V24H86H1
70,72,ESRD,V24,V24H86H1
70,103,ESRD,V24,V24H86H1
70,104,ESRD,V24,V24H86H1
70,169,ESRD,V24,V24H86H1
71,72,ESRD,V24,V24H86H1
71,104,ESRD,V24,V24H86H1
71,169,ESRD,V24,V24H86H1
72,169,ESRD,V24,V24H86H1
82,83,ESRD,V24,V24H86H1
82,84,ESRD,V24,V24H86H1
83,84,ESRD,V24,V24H86H1
86,87,ESRD,V24,V24H86H1
86,88,ESRD,V24,V24H86H1
87,88,ESRD,V24,V24H86H1
99,100,ESRD,V24,V24H86H1
103,104,ESRD,V24,V24H86H1
106,107,ESRD,V24,V24H86H1
106,108,ESRD,V24,V24H86H1
106,161,ESRD,V24,V24H86H1
106,189,ESRD,V24,V24H86H1
107,108,ESRD,V24,V24H86H1
110,111,ESRD,V24,V24H86H1
110,112,ESRD,V24,V24H86H1
111,112,ESRD,V24,V24H86H1
114,115,ESRD,V24,V24H86H1
134,135,ESRD,V24,V24H86H1
134,136,ESRD,V24,V24H86H1
134,137,ESRD,V24,V24H86H1
134,138,ESRD,V24,V24H86H1
135,136,ESRD,V24,V24H86H1
135,137,ESRD,V24,V24H86H1
135,138,ESRD,V24,V24H86H1
136,137,ESRD,V24,V24H86H1
136,138,ESRD,V24,V24H86H1
137,138,ESRD,V24,V24H86H1
157,158,ESRD,V24,V24H86H1
157,159,ESRD,V24,V24H86H1
157,161,ESRD,V24,V24H86H1
158,159,ESRD,V24,V24H86H1
158,161,ESRD,V24,V24H86H1
159,161,ESRD,V24,V24H86H1
166,80,ESRD,V24,V24H86H1
166,167,ESRD,V24,V24H86H1
15,17,RxHCC,R08,R08X84H1
15,18,RxHCC,R08,R08X84H1
15,19,RxHCC,R08,R08X84H1
15,20,RxHCC,R08,R08X84H1
15,21,RxHCC,R08,R08X84H1
15,22,RxHCC,R08,R08X84H1
16,17,RxHCC,R08,R08X84H1
16,18,RxHCC,R08,R08X84H1
16,19,RxHCC,R08,R08X84H1
16,20,RxHCC,R08,R08X84H1
16,21,RxHCC,R08,R08X84H1
16,22,RxHCC,R08,R08X84H1
17,18,RxHCC,R08,R08X84H1
17,19,RxHCC,R08,R08X84H1
17,20,RxHCC,R08,R08X84H1
17,21,RxHCC,R08,R08X84H1
17,22,RxHCC,R08,R08X84H1
18,19,RxHCC,R08,R08X84H1
18,20,RxHCC,R08,R08X84H1
18,21,RxHCC,R08,R08X84H1
18,22,RxHCC,R08,R08X84H1
19,20,RxHCC,R08,R08X84H1
19,21,RxHCC,R08,R08X84H1
19,22,RxHCC,R08,R08X84H1
20,21,RxHCC,R08,R08X84H1
20,22,RxHCC,R08,R08X84H1
